a0,b0,c0,a1,b1,c1,x12,x15
87eb71a7,89511074,ea625970,1aaa71ad,d052ee9e,d8c2c151,eb6129d2,c0c0b1f9
39220eba,46ace3ad,d8218e56,9f320c3d,4d5707c9,e1c482d5,d1038a76,eaf686f1
83bc7ea2,eddd0a2d,8a9b7aff,9631c51d,e0be7b1a,e5ab05b0,8bbb0add,e18a44a5
7f1e6345,44b60ff4,0667caf2,6fe3472f,f4432240,900c4e89,3673ebf6,b0ed4bad
c41a45c7,1ae8ed8c,7a1c18a4,06df1264,0b713201,200e8a07,7a045d21,20979803
53f0e8a3,3161eedc,68738399,a4aa5679,1d099c27,269c9c75,6813e33a,02b4ce0c
1f200f6d,228fedf8,f85eb7a9,2a50e21e,d0efc75a,270498d0,ea7ebd89,0544bad2
b711201f,6591d5ac,a050751e,db972eb2,e655b2f1,27e26175,23505503,a4664765
7182103c,bb9f5715,985ce82a,7d7e758e,19f73c02,59c84766,b85ce83e,79a02660
f4146e8d,58af0e30,373b6d14,d8171023,82e39f0f,f13ad084,e73f6d19,293ec0a7
77561ff0,c1c699d0,d972db5d,aa08171c,8c8068b4,a929fd2e,9c34ca3d,a129ec2a
547b659a,4009d4ff,6adf8a1c,79ae5acd,526260ff,20595980,7ab4ae1c,30734980
4061184f,f400fbee,56200e31,50d30de1,166ab44e,1db0ea51,16400631,5df2e7f1
9bd9d1c4,612ef5dc,f50b83a1,e0644f77,4081a7c1,ff28e54b,f482d3a5,df0ca75e
2778c344,f6013c2e,b4f90e4e,11cdfb4a,e0c7669a,be50e097,b2b94c4a,ae94ba97
50ce5bb6,a53e4f55,6ce2ba76,742228fe,1108c9f4,1eee3df6,7ce4b8d6,2acc3d56
5c609715,5342b831,4969cdc4,f9256c09,244bc5a5,dcaad5f4,1d69d8d0,adabb9f4
e4963a7d,f9ac8769,f7c762ea,5f9e2f45,6e7a15be,9c382542,735170bf,8bae2707
2a0b4a7f,c89a9813,c1e4365d,eeaa5542,bf6ad169,9fde7189,e3e47e27,f97e30cb
662378d5,a2072bf5,d90b18cb,762bde3d,637d7768,b2cf94fc,9929405e,f2e5c8e1
5c491475,2dc6954c,6213e136,b16b7929,5ba727a0,13883e9c,3652f152,23e90eb4
45458658,3580e03d,9e995d96,d1df92b4,6e1739bc,23799c99,df9cdd96,72ee0c19
b4968e58,c59cc4be,1e5a6b21,3ddebac2,2b36426f,5d69872d,bad8ed71,71e305ed
625677ec,f951d0f5,211677e6,47bf9016,48ab0ff0,0f2fe1db,014420e2,0e9571df
b326aad2,860b780d,3674ff3c,f9bb91c0,ae9a96d9,44988d36,167455ec,6c090df6
035f5a92,4f75c9e4,c1181d85,87aabf48,458e24db,f8482c89,c3435597,fae28181
6e38e2b0,a51190cf,210bdcaa,16a97e3a,07a126e1,6bfd290a,033b7e8a,695d1f20
35b3e14f,264afd66,c417c848,d7fbc0f6,dbdb9fa9,cc563b5e,f186a807,19c77b98
1696bcf7,b12d6377,377b02d5,4cdae457,b37ea6c1,d6904050,35698663,d6c28446
c2760fde,528a8a66,a9780d0e,c374e5c1,82aa62de,d75daff5,69580596,177d4f75
01e42c35,2fabf77c,dacb08cf,18d1a3b5,7aede988,ccf4176f,db8f04fb,dcb415db
128a6c42,0f4b7680,68a6d8be,868fb98d,c0c25012,d9bdd44b,6a2efcbc,5f34f4cb
63d38912,652f381a,6fa6956a,64bf4b36,80ce88b9,f80c96c6,0e671568,9cad96e4
869da149,44863de9,cbfff8a1,49843986,18ed40f0,d4a44d18,cff6d9a8,9ca47418
12feb4a9,dfcfb0a5,502b7851,a9b4d03a,0c370201,33e439ed,42d3c8f1,b254a9cd
c537ee94,c3574cf5,06143493,24053b55,4ca7c1a9,c339ccc3,8324b887,c739c597
a3ac9e0e,caa1fa52,0b1cbb61,ad2faa99,cb2555ff,b0a9d1fe,0a98356d,b1ad7b77
affbc1ef,b8bf1cb8,8d9e0a53,39459373,7c38ba21,0b8336ee,091d8ada,0b86b4ff
b6a69e62,8088a1fe,e8c442e5,72fa638d,bf9c8a73,b66c2bb1,dec048e5,847c083c
476e99c8,afe34172,76f5f295,df1a5c05,caff8757,ef37370d,33f97295,aa2f7308
d0863b90,b1b66e77,f48bc0e1,09b3e224,3587f760,1257d45f,748bd9f1,1266545b
cfc05045,f9c7db43,ca9620b2,040a514f,0bc6f90e,64dd830f,089620f7,64dd8342
ea471260,25ccf6e8,d0d71d2c,c73ad38c,39e53e38,ae5000e2,d8d61d6c,aa78c062
be5cfee6,2e6f26ee,ebbeb545,88b31497,86217e04,d2311594,43f2eda7,5a330516
3cc62316,6f454b5b,9eb3b881,86ec48ff,f06fadcc,1bc6e5cf,82b19a97,9deea558
c1cab0de,afc23363,101c9299,770b84be,835a24cf,e30c5735,10948215,c7045399
20743875,653fd479,52e22bb2,9696c6c9,68de7814,3003bb76,528203d7,34833f3f
bcbc03a3,cd04e11a,a3a1417b,7516b113,2a9bde9e,ead1fd4c,073d42fb,8fc7cc4c
2dff518b,14f49fb1,0a663fb4,8d1ab26a,1dae86d0,452e59ac,033c2eb5,4c3449cc
cf8d9290,6a821604,8d915a99,aa46529f,2b19d567,1332a56d,cc18d899,1330e76e
579e04b5,77b3fdd3,74f4b82a,8646c2ee,2479c693,e7962752,277eb82a,e5d42512
d29143ac,8c628c9c,8a23e08a,e37b0f37,235f5da4,27cc659a,0832a1a2,84f564aa
1b4c3ee3,75afa846,46be322b,77b091a2,41bf3afd,5409ab15,56be2088,60193bb7
82ce3165,f21e4e0d,6af885be,0cd5a96d,752c5d55,696a0266,e8fa94fe,6d7a032e
c751c79b,3ba7b8e0,fc0491cf,407fe362,e22b3fd3,bf4478fd,3d0416dc,ff48fbdf
fdf4620c,08607ce1,9d25d988,2c790abd,e6352c77,da756b94,7171998c,f6246b00
1df061e9,33b4734c,eab7513a,b1159cd0,982f07a4,e39b8eed,e32731d2,428a9a2d
486b85a5,09aee0a0,52acf2a4,9867ebcb,4f75b37a,e6fcb79e,12e7f324,e6bff454
9567ec5e,1bb20649,edb86660,c687480d,cfd5adb3,ab6d8c85,79dfce3a,6f6a848d
80dd0338,c1a08bcd,90ac5868,5a11ee1f,d1bdc415,eeed9c64,90b15b70,fefcd27c
46014874,ef50c0ff,2c84e3a5,ce7b889c,666a3eba,fbde9ad6,2c84abe1,73e412d2
b92ee320,9a8ce75f,8c95fa8d,d4f31964,5b3fd022,3d9c9be1,0db7d9ad,fd2f8a85
f41711d5,7d86c069,2d1e8cf0,2f710081,4a495c25,700644cd,19199cb4,574744cd
babd4fef,ab2d2b47,b32da6a9,94709410,4d9e0808,772b1a4f,119ca5e6,f31b1a4f
41477933,c2c16fa0,f73097a7,b024cc99,bbda608a,1f9b0807,b6339e85,2f9b040f
f71c2f85,c96c3422,87e46bc1,880f44fa,2ec812f6,1f051882,60e04d45,9f011c52
4fe6b1a0,4942c983,d35d60fb,6d385c42,304d8e40,7ec67b57,9a5b617b,17ce3f15
dc14be52,52b061b0,a00d5772,54fae93c,d5d23f00,bea3e431,240d4962,bac1ac01
d54d02f6,fd430644,9b290e35,2b36c91a,da186eee,6a10372f,9e600e97,49027f25
b83e592f,8b0e12c9,e18154d9,04331dac,8a87609f,e20f30e6,e18904df,e20e20e2
2b625e06,6a863e90,1bbf0d50,62d1ab97,99d99218,97e84d70,38fd0150,f5b9e5f0
5e9c905b,158e6a11,994a4a96,c667d514,06a0a151,d45f9caa,8b46cad6,d6795daa
7320bcf0,dfcb47bd,0c392724,44156aee,35649501,1d7baeca,6e19b794,5d7eec66
95654160,26bcd442,696848fa,56f4700f,a011dbe3,bacd46ea,ed4d49da,bc6946eb
70201842,a76253c7,54bfb431,e753d54c,1d601449,9778e505,64bfb433,357aa009
9a6fa0aa,a15a8a6d,362bcd9a,7c5698f0,1b2958a0,50a5dd6a,ac484d12,68f74daa
9c62621a,c2620183,c52ea91d,b7f6802e,d3d54f6c,bed7c53a,d50ceb17,af61c514
69ba119a,7ac1e711,3255d412,d8ca95c8,237e450e,c86087ae,7befd408,90ea07a6
f10dd9bb,fd1708e6,4851a15e,53e29d26,3f7aec11,d1db64f4,885c61ed,93bbe0d2
ddb9515a,2ebbfb1f,70076f41,348fd565,ce0c3d1c,d24b0acd,b0b62f43,f2cccecc
99f15371,42638e78,7c5126f8,e2019923,15841aa1,c63a4ef8,6db036a9,843bdef9
9163542a,683f4220,971df2ef,c169fa24,f1725b13,8b7f022c,065ce2cd,0a361a0c
4b6132ff,6be99865,20dbf45f,3d53a17c,6801ec0b,f625607a,23bbc431,f7654016
7ffd9891,7f6b1ed3,3d7d54c3,584bff91,deeda262,5d98742a,1cf9cc52,5d9ac8bb
c5493f7f,e8fcd91b,825d5f1d,d22fd3ee,7b9d98c7,bda92ee5,031c5e41,2f886f29
5d597739,f3563f28,6e9fc8d9,416a1b57,86ecf676,b265fe7f,3b8789c1,f34ff729
dbd578ad,3ddf8201,a2cd2688,70d4a084,2fdcb391,b733a794,b0cc1608,a7338714
44ec1fa8,ca375e3c,6975a3dc,ae639a8c,bbf7d3bd,b91f8535,29b5ae5c,995f0db5
648ca26c,32ff829c,60d5d325,e76e20e5,c5f578e4,c2b3ba1a,04dd714d,25b99a7a
d0c76f2e,810dcc09,a2bb8e5a,d0defaaf,78c51286,00059e17,727bc054,d0cd4498
f24227a8,5229c486,b277a5a0,19b70757,4f71d70a,dc3f54b5,a237a628,c52f57b1
12d1ba3a,4903abe8,97b8538c,2afde84f,ef348208,634ec185,95a97bac,417be9c5
c1c50bea,2146f158,3b9359ca,60ded6c0,021c8d9f,4dcaa0e6,3ad35108,6d90f426
51d02c18,0a0d41a6,e570c7a1,d8df2f2e,ad1fd411,de0532c0,e460c3b1,5e1737e6
f5266c3a,984f2277,41c52eae,8e1c6a45,dc457d64,4c4b70d8,05c762bc,48433ad9
d0e59997,0e574abd,9dc51dd1,7eab99ed,d3a551d3,e4754fc6,4d2504d7,b8d756aa
d1598795,b49538c8,4ba932d6,132e40f7,04e6dbdb,962fbce6,dbf8b1c7,860dfcf5
d696c4b4,1951ed4d,4ea634ee,77ff90c4,bd0527e5,d9cc5dde,cab2f44e,fd98dd5e
d9c48903,fd9408fd,a8a8d713,9eb64ede,d99ac7a1,5e775c0f,a8ac5e13,5a711253
fb0f55a7,8b808365,87d1d197,9b9cc90e,9c43b381,f5d040ea,94d2c133,e65040ee
548d9232,593c9bfd,76028d9f,2451a5fd,29028ff4,e8f342ab,260e9d9f,c8e346a2
fec96936,ab55da25,e9d9bcd7,8fcebda7,789736c0,7f9b358f,3b19d4f3,fc59992a
a7ac79fc,82e032fb,699aea6e,479a36d3,bc97ca7b,052744f8,4fbe92ee,03357478
c973e692,be60c5f5,7992ae55,7a833b04,608d62dc,09acc56e,b1f30855,532de66e
86f0a1b3,93fe04e6,393d6ab1,0c356082,282e2ae3,0ed7081f,bbed4ab0,06c7281f
fd7792a8,0928b20b,6e43a286,4e376c5f,7fa707e4,b0b2e4e3,1a44322e,f6b5c0ac
19768c3c,74d1bdf8,a3ac69d4,7d5dba20,caed97ab,30f372eb,bb9861c4,0cef58eb
a10d06a3,a1a0e86c,219bd49c,06715b92,d37701fd,a340ce18,019ed41d,a1118788
8e51c600,d4be740e,a57d2583,8de3c12c,0dca4e72,39d11882,2d2d2783,b0b118ae
9dd46363,8bacb134,88e106b5,c14dadf9,9dd08749,2b8163f8,9cb524d4,2bcd4781
a2eb39e8,c22c67d2,09d5304e,7a439f3b,3b731c28,223ca8b1,a99e09a6,5a7fb38b
85dc5ae0,feb6df9d,dd1d37c2,1364e55b,4f3f029e,24e2bf91,5c956fc2,35e27a92
f50d1d6d,a831d854,c0acb561,a7dbe65d,f29c5540,6630e281,90a1b865,64b96695
1490b2bb,614c8de5,90518ef5,061d7de1,4ee9cf01,2b3c01f6,94d18c55,2d394116
5b731cc7,4d23d8f5,1678027e,0712b187,0684073d,ce5301d4,5d5b1ebe,cd519054
b0813af3,7456fb8d,c1a8b4b0,ad16cbc8,c037c73b,6d21b903,71a98c02,c921b183
bad16561,4392e80b,17a35bd0,38c057fc,8716713a,1ebe7309,97235af1,1e3e6239
7737d7f7,958cc8ef,e216368f,1728fc21,2a2c50a1,a6f4c5bb,d536a6c9,b1d45dbb
ce02881b,450337c3,8fa66182,7623dbf0,01c20899,0de8f944,cba66998,49e9e214
73b71407,82168329,7455fddd,a0edb68a,2e4b7326,32a9392b,5440edda,92e48921
8efec1e4,76cd9ceb,459eff2d,8e2fb070,0729b0f8,185298f3,457aff2d,1876b8e3
92f5a99a,576f1829,7eb3a0cf,b0e3da92,c819a5af,79848b11,ecc7094d,e9e61393
3bc78375,c41bf355,b4ac308b,58430f01,c7c6dcc3,8f2993c7,b769339f,8f689cc7
5e447cd2,53831da2,c137a345,44d49ad7,ddb6343e,c08af0ba,cf338bd5,c49ef82e
de8a3f2b,5f6ef862,b698b25a,68feb02d,4a798148,e45e2576,a29a8b70,e448155e
5256055c,ee4d16bd,e6e8e797,52670394,553561a8,e54b8c13,f4b8e283,f72b8f07
ea3ae82c,12ea6cd8,7dd6a4ae,61d7ab1a,296fd539,24394e66,57d60c8e,05bce766
388d6ae3,70e09dc9,d7b317c1,3706147c,f8998733,aed5d13d,dfba1d23,aed5c145
ed734e54,914c8d85,610f4d72,30aa2dbd,c2876ac1,155783e8,204c0b36,05dda6ec
fdc6a46d,4fbdbcae,37d41de5,42a29055,032e2b06,6aab6b04,7b5699cd,2a29fb04
116a48ac,1fe979c9,ccc5f0bc,5f8df63d,e793d16c,c2fe6c7e,dcaff818,9af6cc5b
8a57aba8,bca51ccb,3f9f94f1,63b0e9ad,9a5acde5,344da2e1,3dc815d9,16fd63cd
6458f01e,14ddcd76,ea4f0451,a0e68a93,d6daa270,e91b983d,aa4f6457,691d923f
98d10ea2,fa471665,1a2dbe9b,0a868c60,b98785ad,f1df9331,1aedbc1b,f35f1371
3fcd65e5,4b333d62,77cb5049,69884914,767b93de,641012c7,4a8374ed,4d181ad3
b2f433cf,6bb3d9ac,da6e285c,77693fe0,3c737501,5da77ae3,c8ae08d1,0ae75643
7838f1d4,efb2d08f,111dd828,77d026c3,aff2793b,d191163b,511d79bc,91d136bb
5a9dc18a,aa2daff3,46a22fdc,a17688f6,e608f93b,06293e1b,0ea76f54,060d3edb
4adcbbb3,b3ce101f,36954698,d3c1ab7b,66733495,a3888392,7609661a,7209a398
bbe04671,1b9e520a,b17e74c6,a4d2a895,4bb64c57,68e52c90,a15e7297,68e52485
970469a5,20f5e167,21d030c8,03568a60,df99d8d8,bc6f2bf9,b6d4196d,bf2b23d9
ff00f042,b934473e,85890568,1d8cc48b,2c705c28,f21acfd2,1089156a,e71ecfd0
2b4aea63,3ee8b3a4,e9b22e92,08093227,05d3c030,7a9ef76b,c2b84c92,7297c56f
34f10000,6b56eb04,c9ab2131,9aee6dca,51860d98,98f8829c,f97b2131,8238e614
b056b777,194dc80a,97e1b31b,bf8b91de,6b18e9da,1c5b6ef1,a7b5924b,2e5a6f21
8af32994,9bb4c7f5,2fac8973,0059d216,52d48dfc,f73e2e57,a7cc8173,f77e6c57
a1da1dfa,6e132aa4,64f9bf73,87837b06,f4fe90e0,567dd65e,e431a733,d4fcec5a
40a7f292,b8b6dae3,fd90f431,a6298dff,3b8a103c,7feba9db,fdb436a3,fdc32104
34e1d3a8,a156006d,57a19544,2becfe5e,19c446a5,ad3d52ef,6721d7cc,85bd14a7
ded41722,fb0bbae8,3123b3e7,04a9c031,12cf90df,40f4dc0a,f9e7b1c5,4074dc3b
d7a8297d,8c6b4889,2edf2e07,3c5bdabe,19a6a0b9,bb46676c,bb570637,af0faf5c
8df3718e,23667df8,ab2f57b1,aa15e1f5,717c4038,5eea8e76,ab3d6631,5cfaafb6
a16b2544,d1c0db2a,3eb0b8ee,e02e5d4a,33114299,c41f7339,9ef1b9ee,241f6a3b
6b0f7b7f,a1b2a7e2,6ab638f2,bf075cf4,fe7d86d0,d84867e4,21b919c0,c74f67d4
fda6f665,5ca2dc50,f4f77283,7ee63497,d052a8f1,d06e0d9a,785706a2,dc8e391b
e04bcbea,e18c0ad4,6c0ebe89,d58c230b,7a8da809,e4ac372f,ec0f3c41,75ac1526
adb602f4,86649c3c,a1f904e0,fb88be84,69413b47,b17dc95c,0cdd0690,5a7d6f5c
0a9e7002,07942a7d,83797604,f5307196,8ad0f253,f86365ca,8b7d2606,7d6335cc
7c974cb2,1570e10c,227fa873,a19a1b70,f7bcf4ae,406dfd3c,42fbacd1,e0e5ec1c
a52af05c,d7c8d29b,f8c65ebb,5327df93,44697b08,b6d6902b,79e6feab,a5f719b8
fa6380ac,6318f41b,804f4f1f,75a7faed,bf2ec0fa,51f12731,586d4fbf,05d717d0
a1366af2,c07a8e65,91ba3736,23346bbe,639a50b4,90727c5f,309a7de6,b35236cf
d60f771e,77d8c3e2,73d4b800,0723a0ce,e28ed60a,6a4a6a7e,e7d2ad08,6f486ab6
4f8991d6,a60e5d88,193b4187,f30ccc5e,6bc80941,0e418ee9,54bb5147,cf45caa1
bdafd9da,9a71a406,f5dc0a45,79bdb406,4412fe02,b013758e,69ff5245,e832658a
86a36ca6,d9cc9dae,e6f6cc39,a5dc50fa,aad3f3bc,0d371e5f,e4f5a03b,2c2b5e4d
313b0947,aca0afac,57872539,1f184e4e,0740d5e7,8af491c5,76a72d7a,81f4db8f
cee3ab24,59d15c12,9970bcd8,87edc2e9,a1646376,511a6fa3,51d197fc,d1bf6dc3
54c8ca9d,1ede3729,cf954cc1,2af99131,5a99f7e8,a0936146,8bd58c40,a0d2e147
2474b92b,b85f32ca,9aa06297,000e176a,626448c1,bcdfcc13,9a905a9c,bcd5de19
b7841738,c4903e01,622052b9,b1fd1b0b,32908c70,9671fcb8,d4204089,2671eeb9
f006c856,dc548786,d12c16f3,6a1e68d9,d3d3e28c,f8f94b2e,d12a56f1,f2ff2b26
f3c1d629,09e2232c,5814d03e,e8ecec6a,c8883d1e,29d374f5,9954c61e,e9bb78d7
38ea8b49,957af2ba,88586428,db75c3e8,c765aa25,87db5630,98526c21,d5ce16b8
955de579,345c2e46,8e365162,85f49449,8ab7a67b,6e80a05a,1a7fd15b,ea602053
ca64b5dd,582677f5,10db005b,cc1e7cee,296b8202,0aed31d0,509fb58e,4ae14536
478a0d46,55f15cb1,1d822842,38f5f98e,06143dbd,8a88b90d,5e022946,9a6dd801
94fc4d1d,87505412,fea69fd1,2ee6306f,471b1bea,bb855b40,7eeed2c9,bbc75b28
de34d1e3,37d6dbbf,ec8f3ea2,c92bd44e,a5e5fb61,c34cd74a,7ebf3e60,436fd704
7de892bf,28e6253f,1c382e4a,59841ce8,1c39df5b,b3e1505e,28f0bc6e,a365483e
81c2805d,8024c100,9f219dad,4dddb946,b2ef2d79,150734b2,9fe31df4,15ce9cf2
6393c3e5,45495ce8,299d5872,20a11c62,28d25231,a92b76c6,480e5ab3,89aa7a86
cd2356f2,4043ceb0,6f282860,c39e04d6,82acd3cf,cd6da5a2,af0b3c12,0fe3a1f4
6a559e3d,cb0de70a,a5f0458d,580348be,0b9990bf,03319930,e5e453b8,4331d984
5bd5f997,1e58e3d3,9157698e,4b737884,4fe204f6,238e62d3,c0c7888b,62bc02d7
35948964,90eabc47,b7256534,64326c70,03346831,a1baea2b,a6b1e550,a1a8ae5b
dd23f103,29feac6f,9a0ce7eb,59e0236f,47ed4350,37f2f9d5,d60f06e8,7ff2dafa
3bf6fff5,41fa9906,ae0ac1e6,76ffb9f7,8289e20e,a1ee95a6,ad78bae6,e39daca6
175b32ed,f20215ca,05c50e8d,2d670117,3c6bbe58,7a8035f0,038c2c0d,76e134e2
73165390,c18457bf,1b28ce33,53aa7ff4,651c2161,38564be4,3b389ca3,38de3d30
d15e8138,b939c973,d6984a60,71a5e68e,7eebdd68,f898bf9f,17ca4a78,b918bb95
7fb94859,5b7a5e74,b25459d8,38a36e81,508e09f4,13667325,b9e419d8,1bc635a5
b6d8dd18,aa04a562,e1614cc1,d24f3125,1147daa2,17019a9d,532111c1,8542ab9d
d4bc3be9,958c791c,17f825b6,5d4dec46,10b39b5d,5ca33f2f,93c407f7,59aedf6f
52bab942,d740d273,6de17f09,f84d0ea5,528156be,23f6c41c,6d61ff49,a3b7c099
af318f72,85062bb7,c611f0f7,f23054cc,86d81c53,16bb8908,c501f797,14ab9dcc
6f7bf3ba,dac49b4b,a2b4c8b7,9e83e43b,905d6416,d534c364,e8ad3baf,dfb5277d
a59e8d9a,a73c6cad,72451b39,5069e03f,9923e015,658a4b23,565b97a1,7583cb1b
c10a9283,e09dd616,1e2f1c8f,587cb8df,417249ca,637a8ce6,9f258e0f,6316143a
eda7cd7d,d5d68bde,fc892885,27027e03,0fb2a5c7,6f42806b,34ad249c,6d42ae6a
fc874a91,573484ed,0d6ea613,78d4cef5,fdd0322f,7e65dfda,a5eaa493,56a1591a
d7474a38,a624280e,6401683a,077a248d,ca2c746a,daf1ada1,2001201a,def9a9a5
13fa48a4,edc805e0,483686a5,de3c4bca,a27ee8f7,56dcb31b,4b84cea1,18e8fa19
e4ed5dd6,082aab1d,07248f51,a1cf0c05,5e33dc90,6395dbc5,432ddad5,639cdfc0
46420e4a,bd553b22,e51484d5,79c7b5e4,bafd9cc6,cecbbe0a,e3148295,cf4b1bee
24635b46,c9f799db,78f4f3c5,038fd10b,f5a740a2,e8e33ae4,5cb4aa85,e8e3ebed
e9e3bbfb,d60a1a2f,0792b202,5d72914b,0367cdc4,5830fe91,c6f321e9,0d506fda
c6a871d3,b3b3ef7a,0e3f7223,3143107a,08c52929,8208af38,8c1f3270,b34aaf6a
4fcc29c5,8e41455e,7a6cca58,be895bcb,39e9d153,4c34431f,7de4ca5d,fabc5316
84b224e7,b22eb515,b10e6450,f7c73ac0,03ae3361,c1acb0c7,318e6034,702cb287
13f8595b,de08ee01,76d7bce8,8a977d7c,49adf47f,06831ef4,6577a4b2,84060688
8e6ec951,4201e102,29309f7a,070d218d,010953a8,eec1b94d,2b381f7a,edc999c5
5c5b70bd,1c266a2d,9e824d08,fb4a0690,aba54ec4,56b4356c,8a816da1,e5b631ec
6ee7c029,67ba2751,f792fb57,d9bdff69,d3db7ace,e9b90d14,d3f3bb5e,7998501d
e581f654,0c0d50b2,8dd5c14a,eebc100e,7cfcc889,4fa3bc6e,ed54515a,2f13ac64
08c868a7,97de244a,2078be41,cfe6aeed,835fa76e,f5ee51d0,20f8be65,f16ed3f4
052d4ea9,506da4c8,9ee5cbce,226f1c2d,be77da26,9a9cb1f8,9aed8566,b896add4
7df6071b,e1eec2a0,4dc15993,d52379c0,83410153,26d79241,2d675a80,66f4d381
0b52e708,92c91cd2,54718cc3,fa72e4a5,aafe7773,56f6accd,5c63efc3,6ec4cc6c
9444ecd1,97a42601,49d22e6f,b103c824,d0ca5032,e1f5a260,4d964a7e,e0f7e240
927508ee,7d679a4d,9ab22580,22179cc0,34c08735,52125542,9a972de8,52154902
eda15dd4,e8dcdf89,5950ea4a,f946b562,11a022c6,84018875,b070b70e,7d453d37
27b427cf,d6e809bd,617136a9,58038762,ec9631b5,4b7ef010,434516a1,537cf010
9410dd69,1af6257c,2931dee6,c3fe7dec,72baaedd,0e202c1c,293157c7,4e6c25bc
4d3a4f78,421ac141,8a16311d,f0c3d77b,b075e50e,a2f3c304,ca3c3555,52b0c74f
f53155cb,a58c75c4,170e624b,e6a4a7bb,4671a7ae,9b0ee8a3,f63f3201,79aa6a89
eca77174,9c21c9c0,1587b68f,56cda218,9c211de9,603a3451,1587e6af,603ab459
9b1f786a,4fad5331,faa19562,04f6f156,4f5c33ee,607489dc,fab0f528,6084e98a
d4815f92,fafb1c97,7d913943,1957c1c4,bb28d674,a2eeb5d5,3d1073c1,a3bd7515
8656b306,7a61d3a5,aedcd852,5b25ab9a,df55defd,7a051734,2ac8d952,7b211e2c
106fbc2b,aa276837,bd15f25d,d075ea29,9d1ab54b,9eaa98de,ad386e75,8e9f50f6
f2debc5c,27a7d2a9,293202e4,503708ce,dc63cb74,d6d27ca7,dbf61ab8,86d6746b
0fe52c2c,2c0f38f7,649959f1,a3e86012,79c05687,6488e71a,615c75d1,6540870a
636081fb,db322a81,832b58ef,fde24bba,033d7822,e38f0abb,c32b584c,3b8d4819
03d217ba,0e43c3d5,95085910,671e6d0f,65dca49b,ee57d87a,969a5e1a,8d49bd74
a4ccb062,25c84383,5a5fdeec,2106ecc2,88f3ed8a,8c2a1f7d,fe577eec,ad28b37d
f01300df,5789a26a,4ffc5913,8a380c58,3c8b23f6,f31de25f,2ffe598f,f91de247
46f04a5a,a46772b7,10161d34,efd88fb4,7a056919,0f88d533,5676173e,c1c8de97
caa00463,4b88796b,19012d4a,f6c97bcf,05e9301f,57d8a78c,53212d2a,1199eec8
8cd78ad5,75d1d305,e565368f,58e21912,3f6d37f1,ee03103a,edf1b65b,a6a3102a
161aed71,b3f64417,f3508f05,1a19cb70,faa252fa,35fe419a,f3408b64,3dee43fa
23ece7b6,826ad3c5,1b453fe8,45f85abe,e6336886,f1e5714a,3b0d9cea,b5bd6b48
67d5cb42,658f945a,e682bf45,c0e41c47,b6e6b24d,fcd9a36d,a5c3bd47,3cb9a76a
c24a9fba,60084cfd,8dc85bc0,3f13c9d5,4f140d38,3efe59d2,8fc05a40,11ee1817
4930c8ec,5682f4a7,30629ff2,c4e03901,1dac674d,1f3f8b25,79421f1a,5f1f9a25
792735a5,7f697fd6,e9b4df6b,34908c5c,104f4f33,0daffde2,8092efce,29affda6
a3458eea,f20e94d3,7b254093,116f40a0,87cd30eb,9513bf98,5a64c4bb,8450bfb8
c5761303,dc2ef750,b4214e26,d3f51458,1eed6988,8f6571a5,74635c26,4da465fd
a4aedde4,7d169b38,324cabe6,2fbf87bf,536c345d,eee115b0,16662682,c0db9295
cbe3fafe,6e5f41a3,98ea1ff8,b56b6993,8423ef77,56f8ee58,528ab52c,f690c6c8
48e22bae,c4ffd85a,0f20d6e0,df68862f,ddb3b46b,b18ce657,0760fec0,a8c4e276
bf42dfed,bcbb3184,a7e531a9,222a9550,2dfae2dc,9864b8cc,36a5e2e1,9864299c
211a423a,09e9ed7c,f8c4bac1,a92b54de,c70cc179,d3693a46,f8c4bac1,5b483e42
10d2773b,23c464a9,cdf0241d,7922a6e3,12aab978,1e703a39,ddb2710c,2f52bef8
09c539b7,b0a14071,b1739650,1e348a85,55b92af8,7903c2b2,b073bed1,7d13c833
91fb4342,81ca6e8c,92f900c8,c2863753,7f57ad9f,df765a40,026043ca,1df25953
4ff82cd3,223fc01f,b3b2a607,78d04cc3,19dec69b,b59313e8,b852a287,8d531768
0a5ec9fa,362af8df,e2b27043,536d5f22,406d9fbc,8405ee6d,e0f43121,d640a94f
b8a0e210,505fa04d,e81193fb,22e840eb,17488355,7447c22e,e811b1eb,7647c226
b4ff8d5f,c961dd90,1cd3556e,5fab4f0a,f79969e0,d86707e4,282bd13e,c6cf03e4
59ee4d71,381ff3b2,f908e680,798a1105,7c222e89,2707f2fe,b924abb1,670fe3ff
691e5edb,6b88f9ca,95b29036,5707a4c7,e4bd949c,d51a37f6,9ca6dc64,d21f13b0
2e8a7a98,c9079d9d,c56a6878,e975b25d,fb8512f5,962d999e,e7e86270,b62d1bd6
440256d8,960c7417,081d98b6,a079b831,d52bfa90,55555bc4,481f9e36,5574d3c5
3feeb1cd,1af6fae6,07deb9af,ff0a77c5,85d0c4a8,596d5319,18f889e3,c66f655d
6d46dd75,553248e2,b5541953,fc2279f1,171f55c7,11010037,f5500476,51211916
e8d47d88,68676686,6a486fa5,9ee24c1b,2f59f4be,6f381926,2a5c7fad,691a193e
abe00ba4,0a7e6526,36566258,ce855a9b,aed14e34,6142c47d,96f66958,e5c7ce6f
