a0,a1,r,c0,c1,expected_value
2de7f349,57d3f3b8,1c9f3188,3178c2c1,4b4cc230,7a3400f1
30c77bc6,fc3bf3b0,ea6b6b04,daac10c2,165098b4,ccfc8876
6af8c9d0,bc20e506,eed02211,8428ebc1,52f0c717,d6d82cd6
f65c3689,09e8f931,e981c296,1fddf41f,e0693ba7,ffb4cfb8
eea5701c,d20366f3,55ab4a11,bb0e3a0d,87a82ce2,3ca616ef
54294517,2a3c30e3,b3609028,e749d53f,995ca0cb,7e1575f4
3ce4de4f,18700672,f0e4a2a5,cc007cea,e894a4d7,2494d83d
092641c7,861cf511,afeea63e,a6c8e7f9,29f2532f,8f3ab4d6
4474d3ff,6cc67664,09def861,4daa2b9e,65188e05,28b2a59b
92fca97c,f493131f,13594072,81a5e90e,e7ca536d,666fba63
df15f699,cc14a9cd,0935c7cd,d6203154,c5216e00,13015f54
cffeace0,454e5d12,e053a84e,2fad04ae,a51df55c,8ab0f1f2
e9c20de0,6859bcd1,7d8eb9a7,944cb447,15d70576,819bb131
e435a0b5,263f4e31,fe2cfc39,1a195c8c,d813b208,c20aee84
7616545b,1a6a01ec,7769650b,017f3150,6d0364e7,6c7c55b7
5cee6454,9643676d,dee0a31f,820ec74b,48a3c472,caad0339
37662726,22f1dc74,f57fb033,c2199715,d78e6c47,1597fb52
f994e469,90c7c224,f9f6e04b,00620422,6931226f,6953264d
a1273ef8,de05589b,a677a1f8,07509f00,7872f963,7f226663
9ab52320,9ea32e6d,ef3d51ce,758872ee,719e7fa3,04160d4d
f1664c6c,431fbcc0,9ed2a163,6fb4ed0f,ddcd1da3,b279f0ac
72505145,8bd8d77b,f486ad55,86d6fc10,7f5e7a2e,f988863e
03a05701,00a0ff81,e6205a6e,e5800d6f,e680a5ef,0300a880
52994d81,76b130fe,e95d3f53,bbc472d2,9fec0fad,24287d7f
69bf5ace,45701d65,4ee3ce77,275c94b9,0b93d312,2ccf47ab
162fc4d3,302607ae,ce97a935,d8b86de6,feb1ae9b,2609c37d
12aca597,414f0464,175c15eb,05f0b07c,5613118f,53e3a1f3
c8fc78ef,9f749922,4eae7c36,865204d9,d1dae514,5788e1cd
cb5eb3da,71ed2e44,3596f605,fec845df,447bd841,bab39d9e
f077e546,85d49b84,0c28ed57,fc5f0811,89fc76d3,75a37ec2
3eccc21e,0bf83caa,4f83480f,714f8a11,447b74a5,3534feb4
988977ba,e651c48d,c97e9342,51f7e4f8,2f2f57cf,7ed8b337
92f3090d,4232cb9d,f8f3c152,6a00c85f,bac10acf,d0c1c290
0c69e918,23b4f3f7,20741e4a,2c1df752,03c0edbd,2fdd1aef
f17de16a,b733e43a,f19a4423,00e7a549,46a9a019,464e0550
34e81e21,eb119941,21567fb4,15be6195,ca47e6f5,dff98760
6e16447f,8791e3d7,afcbedf9,c1dda986,285a0e2e,e987a7a8
efaa15e0,87bf5ec8,4f357a62,a09f6f82,c88a24aa,68154b28
655ad770,eaf996ba,4bb4d05b,2eee072b,a14d46e1,8fa341ca
a8b69748,f301b1f7,2900d2f7,81b645bf,da016300,5bb726bf
17243205,4f6fe1c3,137f4681,045b7484,5c10a742,584bd3c6
b5cb03f4,5eb2cc25,c6a68045,736d83b1,98144c60,eb79cfd1
e250451a,eb380d67,8bf0a252,69a0e748,60c8af35,0968487d
ffe002ca,eba763d5,bf6dfd10,408dffda,54ca9ec5,1447611f
e080edf0,600d0b97,a32ec548,43ae28b8,c323cedf,808de667
4d9fc166,af3d1045,a0184ea7,ed878fc1,0f255ee2,e2a2d123
3ef34d1a,80b511ee,d0aa0a8e,ee594794,501f1b60,be465cf4
0a59b30c,e5533800,df6add96,d5336e9a,3a39e596,ef0a8b0c
a1c654f5,b9477f80,0b0ba26c,aacdf699,b24cddec,18812b75
2a78a57f,ee5165e9,8a34b9c8,a04c1cb7,6465dc21,c429c096
da545f90,d791b9e2,e47ac6e8,3e2e9978,33eb7f0a,0dc5e672
beeebcde,4528dc0e,8c27f27e,32c94ea0,c90f2e70,fbc660d0
b41ee5b9,7ac5b4de,6032e589,d42c0030,1af75157,cedb5167
128c1cc2,ed42eead,51a9114e,43250d8c,bcebffe3,ffcef26f
045e22f9,64190f01,d9487bd5,dd16592c,bd5174d4,60472df8
8e6a7f0e,b8cbdf75,aafaecae,249093a0,123133db,36a1a07b
1dcf9d2a,80f8bafa,d4c5845d,c90a1977,543d3ea7,9d3727d0
f741ce9f,1166865b,fd525f21,0a1391be,ec34d97a,e62748c4
1d659b56,6e774859,fded8621,e0881d77,939ace78,7312d30f
57daca1a,2d20da0a,0ad6e684,5d0c2c9e,27f63c8e,7afa1010
b53108f3,24cdba2f,250cc936,903dc1c5,01c17319,91fcb2dc
692ca98d,99e68f5c,55024400,3c2eed8d,cce4cb5c,f0ca26d1
0cad839e,3a211765,b1fda6f3,bd50256d,8bdcb196,368c94fb
8e75493a,f53712f7,162d90a8,9858d992,e31a825f,7b425bcd
e1042f7b,315edc13,f64b2ec5,174f01be,c715f2d6,d05af368
5a6072ca,06445b42,d826f0ad,82468267,de62abef,5c242988
ae5f5fdf,d7093f5d,514805ad,ff175a72,86413af0,79566082
4e8af8e7,87967d2e,a11e9560,ef946d87,2688e84e,c91c85c9
4296c46e,b5fcbfd0,55389d74,17ae591a,e0c422a4,f76a7bbe
6cd1d183,61bc61bf,69841f86,0555ce05,08387e39,0d6db03c
01188495,673691c9,e0927ba4,e18aff31,87a4ea6d,662e155c
037537c1,ecc8733e,5b94dd5a,58e1ea9b,b75cae64,efbd44ff
eb910533,b30da29c,d2b8543e,3929510d,61b5f6a2,589ca7af
96cfa8b1,3d16bb48,2b57c70d,bd986fbc,16417c45,abd913f9
b6e27bae,a9c50039,a7fd1f30,111f649e,0e381f09,1f277b97
8fee4088,1149f8ba,7960b76e,f68ef7e6,68294fd4,9ea7b832
11d81af9,ec05339a,8d72712d,9caa6bd4,617742b7,fddd2963
9dbc4836,94ec236f,25408b3c,b8fcc30a,b1aca853,09506b59
ea90c496,3acfdda7,44f06bbb,ae60af2d,7e3fb61c,d05f1931
3ae6fe98,8bfab2ad,513b50f6,6bddae6e,dac1e25b,b11c4c35
8cf3b281,5d8db9d4,0cc4b201,80370080,51490bd5,d17e0b55
6586f14a,8a6499f4,29fbc85f,4c7d3915,a39f51ab,efe268be
7c1acdd4,58ebd08d,6a0e07ed,1614ca39,32e5d760,24f11d59
a5840480,033cdc32,222e6682,87aa6202,2112bab0,a6b8d8b2
c25f8c4d,ebd249f5,a842a6fc,6a1d2ab1,4390ef09,298dc5b8
cd0787a2,e92b48f5,5aa487b5,97a30017,b38fcf40,242ccf57
11b1c008,a3a57972,01fba300,104a6308,a25eda72,b214b97a
bb7c9aa5,e5557015,ee7ae842,550672e7,0b2f9857,5e29eab0
dfb19868,2f91a07b,88f8b943,5749212b,a7691938,f0203813
51057c03,ed1295fa,a7f95760,f6fc2b63,4aebc29a,bc17e9f9
55efa8e9,a3fd867d,dd518dc4,88be252d,7eac0bb9,f6122e94
9c1904b2,4481aa71,180f3739,8416338b,5c8e9d48,d898aec3
a3807eda,a45e58a9,cdc55c4e,6e452294,699b04e7,07de2673
68c4cbe5,158b13d2,f443d5c0,9c871e25,e1c8c612,7d4fd837
cd120981,5931e2b6,3ef8d54c,f3eadccd,67c937fa,9423eb37
0146b16e,7b7f1cfd,8be43dfe,8aa28c90,f09b2103,7a39ad93
4ee7b603,ae92e977,c83d17a3,86daa1a0,66affed4,e0755f74
350a6925,b76a8073,904db1bf,a547d89a,272731cc,8260e956
b1690d68,22da17a8,280a845d,99638935,0ad093f5,93b31ac0
bd2f43d9,97642181,ca5f8880,7770cb59,5d3ba901,2a4b6258
66c59e61,39ebd2d1,27bec7ef,417b598e,1e55153e,5f2e4cb0
ae0bb7f1,ab08ae7a,0b005f3f,a50be8ce,a008f145,0503198b
edca7c73,c17af16c,2806ce54,c5ccb227,e97c3f38,2cb08d1f
08c49bb0,8083e21d,180d9ac2,10c90172,988e78df,884779ad
fc3b5ed1,d61b43e1,6d656cef,915e323e,bb7e2f0e,2a201d30
ba7d5c70,f23f57d4,6ca45ad6,d6d906a6,9e9b0d02,48420ba4
94c3ecd9,7cc4ed95,ef497590,7b8a9949,938d9805,e807014c
53d80cca,628e6519,ad8f169d,fe571a57,cf017384,315669d3
8f5f1683,18bb5873,504cdf63,df13c9e0,48f78710,97e44ef0
3bddd5bb,4599bfbf,66507c27,5d8da99c,23c9c398,7e446a04
afef51aa,fa7af078,4eef96f5,e100c75f,b495668d,5595a1d2
286a3df8,74a31873,c9e4c9bd,e18ef445,bd47d1ce,5cc9258b
2d0b1a23,61357e0c,3f375181,123c4ba2,5e022f8d,4c3e642f
672dcb45,aa64a1e3,f2054a9e,952881db,5861eb7d,cd496aa6
363a9ebe,a9b4af7a,08423793,3e78a92d,a1f698e9,9f8e31c4
eeae5fd8,18cee6b1,a4101554,4abe4a8c,bcdef3e5,f660b969
a44cd76a,7449d6a8,e23a5c20,46768b4a,96738a88,d00501c2
ec523fc7,b7a05b97,d26e0e29,3e3c31ee,65ce55be,5bf26450
f9dd9140,73cc4b7a,c2a08d99,3b7d1cd9,b16cc6e3,8a11da3a
c7069862,c69a769d,b5295d24,722fc546,73b32bb9,019ceeff
b20bce4f,1891b300,eecb6f30,5cc0a17f,f65adc30,aa9a7d4f
02bc1a9f,eba162d9,65842ee8,67383477,8e254c31,e91d7846
9e10bd74,af39a04c,7a113c16,e4018162,d5289c5a,31291d38
524ad8d2,a8abe928,58d75a07,0a9d82d5,f07cb32f,fae131fa
b655a23c,f5949293,50d82530,e68d870c,a54cb7a3,43c130af
c45ab3b2,5e515901,00f7d383,c4ad6031,5ea68a82,9a0beab3
4c09dfa7,006aedda,ac648a7f,e06d55d8,ac0e67a5,4c63327d
1bf077c3,6cf56ac8,6ba84342,70583481,075d298a,77051d0b
b6f1295a,2c91f107,0331eb74,b5c0c22e,2fa01a73,9a60d85d
8c7b1e8d,7865339d,0299f3cb,8ee2ed46,7afcc056,f41e2d10
8f541f92,2a1bdb92,f782dbd4,78d6c446,dd990046,a54fc400
f4b38202,9a6ab3dc,df26fd23,2b957f21,454c4eff,6ed931de
21e09f06,dac1fb8c,c041df49,e1a1404f,1a8024c5,fb21648a
597f8f3e,53d3db72,2936b867,70493759,7ae56315,0aac544c
d29cd780,4e1a431e,7442fd2b,a6de2aab,3a58be35,9c86949e
e2de0c53,0f05d8ef,d93985c8,3be7899b,d63c5d27,eddbd4bc
21caedcb,0f60cedc,57f691b5,763c7c7e,58965f69,2eaa2317
aa94b1a4,eee899fc,a8907f73,0204ced7,4678e68f,447c2858
1a0dd049,08591b54,e4a62c11,feabfc58,ecff3745,1254cb1d
60d843c6,24ce60f8,65ad793b,05753afd,416319c3,4416233e
f2823902,c3844dbf,c9f7bec9,3b7587cb,0a73f376,310674bd
5df1ca78,c227169f,e1904254,bc61882c,23b754cb,9fd6dce7
40b06489,b4f33f74,b58e0fdb,f53e6b52,017d30af,f4435bfd
d40c8d17,ca1876cb,8008b65f,54043b48,4a10c094,1e14fbdc
24fcf57f,af378b95,aac4ccac,8e3839d3,05f34739,8bcb7eea
5aebecc0,ffd7f203,ec9d3cac,b676d06c,134aceaf,a53c1ec3
0455e599,13ef9186,55a3f2b2,51f6172b,464c6334,17ba741f
3bcde844,d97df541,b9399a3a,82f4727e,60446f7b,e2b01d05
af2c3640,616cfd39,957207f1,3a5e31b1,f41efac8,ce40cb79
d881d81d,3facc47c,48f4f744,90752f59,77583338,e72d1c61
f69a950c,a79dab28,ee51bb63,18cb2e6f,49cc104b,51073e24
03112116,825f0022,8b7f6d51,886e4c47,09206d73,814e2134
ec233cc8,7f795efa,5872fa12,b451c6da,270ba4e8,935a6232
172bd5d0,8e87525c,95b0afd3,829b7a03,1b37fd8f,99ac878c
fac911e1,f85f8f98,1e960535,e45f14d4,e6c98aad,02969e79
e73cd47a,beeddb4e,afd7b72f,48eb6355,113a6c61,59d10f34
509cefa3,93a75a1a,a3ca175a,f356f8f9,306d4d40,c33bb5b9
cf0dc0df,75f995a7,fb695f23,34649ffc,8e90ca84,baf45578
e6cf3fd4,ff755e6c,3380fcb4,d54fc360,ccf5a2d8,19ba61b8
3e3a5426,ba24e786,d095f3c2,eeafa7e4,6ab11444,841eb3a0
98fe0dff,2bd59f57,54980938,cc6604c7,7f4d966f,b32b92a8
3c91ee50,d7ded3cd,6e385e73,52a9b023,b9e68dbe,eb4f3d9d
28bceee8,124ed532,6ae78a62,425b648a,78a95f50,3af23bda
9f8efcf8,ece8d43b,55d0f9cd,ca5e0535,b9382df6,736628c3
8f80a19c,932c9ae2,0e40efc3,81c04e5f,9d6c7521,1cac3b7e
001281e3,7783b58d,48f5e55b,48e764b8,3f7650d6,7791346e
d23ad867,ae03fb1b,5b8dc4ac,89b71ccb,f58e3fb7,7c39237c
61b23635,35facb7d,a3007944,c2b24f71,96fab239,5448fd48
6f9b1a94,37b78b8f,be530278,d1c818ec,89e489f7,582c911b
7ebeba96,38f7a3cc,5084a084,2e3a1a12,68730348,4649195a
8fa7b86a,d81b4417,74b14f35,fb16f75f,acaa0b22,57bcfc7d
073f4059,d46ad958,48624a3f,4f5d0a66,9c089367,d3559901
719e5c17,ef4464ae,be9b2829,cf05743e,51df4c87,9eda38b9
33e3a465,aa010a4f,6725d926,54c67d43,cd24d369,99e2ae2a
7e183527,dcc554e1,a0d84a9b,dec07fbc,7c1d1e7a,a2dd61c6
c768168c,66192042,632d99a0,a4458f2c,0534b9e2,a17136ce
5037fcae,0f2d7a50,d2a24d18,8295b1b6,dd8f3748,5f1a86fe
f04f16b5,3dbe8382,6508aeef,9547b85a,58b62d6d,cdf19537
5c764ab6,18c9dbb2,796e493e,25180388,61a7928c,44bf9104
e024faf1,a6177e2e,fa5dc161,1a793b90,5c4abf4f,463384df
2836b044,ca472ded,4ec8c455,66fe7411,848fe9b8,e2719da9
eaec9073,3bfc1008,fb6f6a4e,1183fa3d,c0937a46,d110807b
34ce056f,cdb5d592,281da735,1cd3a25a,e5a872a7,f97bd0fd
36dfc5fd,a77613ec,ed675530,dbb890cd,4a1146dc,91a9d611
ce259a4f,8060dc2f,5164025a,9f419815,d104de75,4e454660
7859a7cb,59ca9135,7b7a32d5,0323951e,22b0a3e0,219336fe
30f2990d,2f9a84e5,fd16f2c1,cde46bcc,d28c7624,1f681de8
b0eb9c68,a6762c21,d4d8ae4f,64333227,72ae826e,169db049
2cdf503a,79469a3b,df848d81,f35bddbb,a6c217ba,5599ca01
9650841b,20c3fe9f,4ad93036,dc89b42d,6a1acea9,b6937a84
c2efe3e6,f521d91d,937cca49,519329af,665d1354,37ce3afb
bfc530c9,5392b09a,4570f4d5,fab5c41c,16e2444f,ec578053
b0ec4db0,f4be83bc,8ef08e9b,3e1cc32b,7a4e0d27,4452ce0c
f4f0672a,58345f33,3a732118,ce834632,62477e2b,acc43819
de294d21,7ce08e81,22a4b846,fc8df567,5e4436c7,a2c9c3a0
a10307d9,6af98f78,c40082f8,65038521,aef90d80,cbfa88a1
f62a106e,2c526f4b,4c7327e7,ba593789,602148ac,da787f25
a2a2652b,5965d5a0,52ae6603,f00c0328,0bcbb3a3,fbc7b08b
4ad29a31,400a1b9d,e6239141,acf10b70,a6298adc,0ad881ac
ff00eaa3,acae03b4,938a979a,6c8a7d39,3f24942e,53aee917
8fc8a132,7d82c213,8f3e71af,00f6d09d,f2bcb3bc,f24a6321
049fa919,d5147592,05b1bb96,012e128f,d0a5ce04,d18bdc8b
41f35d6a,9b30e60a,bdfa511a,fc090c70,26cab710,dac3bb60
10a01e43,17d2d71e,c69861ae,d6387fed,d14ab6b0,0772c95d
aa820d7e,b969a289,5daa5e61,f728531f,e4c3fce8,13ebaff7
76b82439,4878fa88,3b816d24,4d39491d,73f997ac,3ec0deb1
ef2f4ded,1d54d2b1,976a7910,784534fd,8a3eaba1,f27b9f5c
d106b68e,c8bbd959,fda5580f,2ca3ee81,351e8156,19bd6fd7
0e06f9d2,54ef68f5,4876b80e,467041dc,1c99d0fb,5ae99127
ab092e9b,efe6449c,36060bd8,9d0f2543,d9e04f44,44ef6a07
3ae6efef,2201ad29,ecbf4fc4,d659a02b,cebee2ed,18e742c6
91042743,2ab678d0,8c38fb64,1d3cdc27,a68e83b4,bbb25f93
8632ac38,01e5574c,ad12e842,2b20447a,acf7bf0e,87d7fb74
026a73a3,48a9f04c,519522dd,53ff517e,193cd291,4ac383ef
25b7dcd1,6354b2ea,fe35f173,db822da2,9d614399,46e36e3b
5a12e5cd,58d961c4,cbf06eaf,91e28b62,93290f6b,02cb8409
edf7d080,c7e7c5c6,7ac5d594,97320514,bd221052,2a101546
f0b8a1e5,3815ff67,5107d54a,a1bf74af,69122a2d,c8ad5e82
89eb4d56,ae835e91,3a9b49b4,b37004e2,94181725,276813c7
58a2914c,935abb6f,7ca99ca2,240b0dee,eff327cd,cbf82a23
23cdbf41,bd057e77,1fe75d5f,3c2ae21e,a2e22328,9ec8c136
74bacbce,8a58fd0d,94b990cd,e0035b03,1ee16dc0,fee236c3
da8028af,f92171ba,377bab1e,edfb83b1,ce5adaa4,23a15915
b17e8636,a897088b,31701968,800e9f5e,99e711e3,19e98ebd
2f1c34c1,126eb980,cde7640b,e2fb50ca,df89dd8b,3d728d41
f86a23c7,b2f8ab5c,f1ad13d9,09c7301e,4355b885,4a92889b
4d56b7de,99468e9d,fa62dccc,b7346b12,63245251,d4103943
ce3213d2,66ebc374,db1d245d,152f378f,bdf6e729,a8d9d0a6
140db3e4,a349473e,1535a7ff,0138141b,b67ce0c1,b744f4da
c8edad09,e056e790,9221786f,5accd566,72779fff,28bb4a99
ae8a78f0,b578b2f4,fd3b17a8,53b16f58,4843a55c,1bf2ca04
1c64e48c,52e79ea8,a5fb7aea,b99f9e66,f71ce442,4e837a24
9b9ea701,be68af15,f8a67999,6338de98,46ced68c,25f60814
a19639e6,c8bcba9e,c5bc2a96,642a1370,0d009008,692a8378
4e0fd5e9,d2bc14ac,fcf5a0b4,b2fa755d,2e49b418,9cb3c145
32d18704,24e26918,4be818fc,79399ff8,6f0a71e4,1633ee1c
cf7e12a2,0076ecfa,53dbb8a6,9ca5aa04,53ad545c,cf08fe58
933a83cc,3c0b0891,86c1eae1,15fb692d,bacae270,af318b5d
c4bdeaa4,1f42b675,4a71d002,8ecc3aa6,55336677,dbff5cd1
4979b2da,49d2cb03,6f5f4333,2626f1e9,268d8830,00ab79d9
c79b8607,d2ca7ed6,09547633,cecff034,db9e08e5,1551f8d1
21b04c45,419ad9eb,7034a677,5184ea32,31ae7f9c,602a95ae
5c555ef5,36c3d29d,4c9a5032,10cf0ec7,7a5982af,6a968c68
387b589f,3884e95c,b37e7ed0,8b05264f,8bfa978c,00ffb1c3
1e8c9951,6e5ef5be,793e79ba,67b2e0eb,17608c04,70d26cef
45e36ada,e2faa445,7cf1ea2c,391280f6,9e0b4e69,a719ce9f
3244a982,eab9f125,f7df5b93,c59bf211,1d66aab6,d8fd58a7
4c95543c,2522e5bd,32aaf375,7e3fa749,178816c8,69b7b181
38d0790e,856e4732,5862dd0f,60b2a401,dd0c9a3d,bdbe3e3c
595dce55,0a7036cc,4fc4b35e,16997d0b,45b48592,532df899
d27904da,e27133e6,83de55b8,51a75162,61af665e,3008373c
5ec21aa3,1e54aa12,32ec2fb9,6c2e351a,2cb885ab,4096b0b1
72895cba,d778af26,bdbf19c0,cf36457a,6ac7b6e6,a5f1f39c
d35a457e,f93cb2f2,95eef003,46b4b57d,6cd242f1,2a66f78c
6bfb0f5f,ce805297,0a5c7c22,61a7737d,c4dc2eb5,a57b5dc8
50ac4363,17539e04,18e1767a,484d3519,0fb2e87e,47ffdd67
d1c702ec,6803e179,ded292cc,0f159020,b6d173b5,b9c4e395
784c47d3,d04e5c64,8b70aa0b,f33cedd8,5b3ef66f,a8021bb7
d989c257,51786e5e,9619dd3e,4f901f69,c761b360,88f1ac09
4046c8cb,6a0634da,d7e5d5e0,97a31d2b,bde3e13a,2a40fc11
54eed0b2,7079e0d6,ff0db26e,abe362dc,8f7452b8,24973064
2e696e2a,33a7eb70,5624e8cf,784d86e5,658303bf,1dce855a
e350c85d,a2c18237,1aee68ea,f9bea0b7,b82feadd,41914a6a
9ef2ab63,bb8e07db,431167ec,dde3cc8f,f89f6037,257cacb8
0ab62fec,bf58c149,8e990a4e,842f25a2,31c1cb07,b5eeeea5
070763a6,34f522c7,65b1f0bf,62b69319,5144d278,33f24161
7db323db,daec5000,1034d88a,6d87fb51,cad8888a,a75f73db
7b7a8281,8db798bc,93119a50,e86b18d1,1ea602ec,f6cd1a3d
e66acece,b9cc0b67,8ba085d4,6dca4b1a,326c8eb3,5fa6c5a9
d0e3959d,aa627dbc,0f7ab46f,df9921f2,a518c9d3,7a81e821
e344a997,03d68115,bc4abc18,5f0e158f,bf9c3d0d,e0922882
299464fe,16f1c15c,20ec62c2,0978063c,361da39e,3f65a5a2
83dbe8c2,cd83fbf0,3751b3b7,b48a5b75,fad24847,4e581332
c639cbde,43a3fd5b,67faee16,a1c325c8,2459134d,859a3685
857e7f06,d97d1ee0,6fe6ca78,ea98b57e,b69bd498,5c0361e6
9a00e5f3,69f69e56,205bf073,ba5b1580,49ad6e25,f3f67ba5
5ba25e45,595bd9e2,a7a0694d,fc023708,fefbb0af,02f987a7
87e429c6,4a1af34f,dd332cf3,5ad70535,9729dfbc,cdfeda89
969f752a,9384ce0c,5388054e,c5177064,c00ccb42,051bbb26
a3a5df05,349aa078,d0b20c90,7317d395,e428ace8,973f7f7d
2998745a,424d9899,cf3d8c59,e6a5f803,8d7014c0,6bd5ecc3
62dd5e2e,6b3b3eaf,4e149e61,2cc9c04f,252fa0ce,09e66081
58bc46ef,be622cbc,b535e2fb,ed89a414,0b57ce47,e6de6a53
e882c26a,7c7a6163,0281f474,ea03361e,7efb9517,94f8a309
8b140acf,c04b8f79,10d14381,9bc5494e,d09accf8,4b5f85b6
4202ac86,05108a62,aa4f6d15,e84dc193,af5fe777,471226e4
2244d4fb,55bc5d07,85d77227,a793a6dc,d06b2f20,77f889fc
75bf13fb,5d96941a,5d51ca37,28eed9cc,00c75e2d,282987e1
8ffb7b19,6acb1865,af43043c,20b87f25,c5881c59,e530637c
823f3356,c5c0ce98,6fe946e6,edd675b0,aa29887e,47fffdce
67638835,1a664a19,006d68ab,670ee09e,1a0b22b2,7d05c22c
2ac7db34,416d5b4c,f599e93f,df5e320b,b4f4b273,6baa8078
9c8e8adc,1ae867a0,c7fb6e84,5b75e458,dd130924,8666ed7c
417d55a2,5878da9b,9f02b3de,de7fe67c,c77a6945,19058f39
1f259ef5,f31c22a3,ebef2e6b,f4cab09e,18f30cc8,ec39bc56
cdea5863,b419b260,f1063d31,3cec6552,451f8f51,79f3ea03
6a1d0ef7,5d33a85d,b6fd8ab7,dce08440,ebce22ea,372ea6aa
2406ac45,e3bdc28a,243e7800,0038d445,c783ba8a,c7bb6ecf
181a6b7c,ae5aa157,bfd8ac0c,a7c2c770,11820d5b,b640ca2b
ebe9b1bc,d1bbf547,2d8013fb,c669a247,fc3be6bc,3a5244fb
7cacf76f,38dd5653,350d0d74,49a1fa1b,0dd05b27,4471a13c
5616e076,e29d0234,c6e34c58,90f5ac2e,247e4e6c,b48be242
c80d897b,82c74655,b06c391a,7861b061,32ab7f4f,4acacf2e
b40bab14,922b8d1a,dfa23f52,6ba99446,4d89b248,2620260e
badc34f2,f385b0cc,f8367f85,42ea4b77,0bb3cf49,4959843e
1769c4cb,bc16d034,76e547bb,618c8370,caf3978f,ab7f14ff
d6d2e011,21c9527b,0e1572d9,d8c792c8,2fdc20a2,f71bb26a
bdc66605,a0b4563b,87e017f6,3a2671f3,275441cd,1d72303e
f0475a0b,c75cc42e,3b65eda3,cb22b7a8,fc39298d,371b9e25
70b32f88,90dc99b8,5a6a9330,2ad9bcb8,cab60a88,e06fb630
ae6af2c9,c9cc2fd9,14b1821c,badb70d5,dd7dadc5,67a6dd10
8b995bd1,217b0931,d496f177,5f0faaa6,f5edf846,aae252e0
872d9a96,5e0c6d88,26eadb46,a1c741d0,78e6b6ce,d921f71e
74dadbc8,18eeb055,704e7b2c,0494a0e4,68a0cb79,6c346b9d
f821dfff,3687789e,7492bcbe,8cb36341,4215c420,cea6a761
d173bf76,cc678882,0d2eae49,dc5d113f,c14926cb,1d1437f4
4018c00c,0b4c4f0d,1165fcd6,517d3cda,1a29b3db,4b548f01
49c7cd99,c5ff2055,f3b3292d,ba74e4b4,364c0978,8c38edcc
aca27fbf,eb933f9e,4ebe265f,e21c59e0,a52d19c1,47314021
9796e1bc,db10bd60,1c06bc4a,8b905df6,c716012a,4c865cdc
315bb456,83a12c72,8cab4506,bdf0f150,0f0a6974,b2fa9824
4aae976d,6329a65c,0dfda3f4,47533499,6ed405a8,29873131
2789306b,6781f0cc,5691890d,7118b966,311079c1,4008c0a7
b6859195,1f3b2770,1547e45e,a3c275cb,0a7cc32e,a9beb6e5
379b379b,9e09220b,df0f2c21,e8941bba,41060e2a,a9921590
787af9f8,9092601b,2e7f54c9,5605ad31,beed34d2,e8e899e3
5138a1f9,89b865f9,fd1cfb0c,ac245af5,74a49ef5,d880c400
344a3a81,bb29ac7f,ac1d8b39,9857b1b8,17342746,8f6396fe
f31135ae,5e32abe2,e8959fdc,1b84aa72,b6a7343e,ad239e4c
5bea1a1f,590c98bf,fbe55a20,a00f403f,a2e9c29f,02e682a0
2a4ecee5,13bf1ada,f6331ce4,dc7dd201,e58c063e,39f1d43f
b5fe17ae,705cc6cc,a9e79370,1c1984de,d9bb55bc,c5a2d162
229ed9a5,b4680428,1af8372c,3866ee89,ae903304,96f6dd8d
2859c06b,b9c622f9,4409df6c,6c501f07,fdcffd95,919fe292
98588fbf,8ddd07b5,62f39539,faab1a86,ef2e928c,1585880a
55d60bdd,401bb4cb,c1e74e03,943145de,81fcfac8,15cdbf16
7f5336cd,169311d5,03babf57,7ce9899a,1529ae82,69c02718
dd31f25e,dade9e4e,c836382e,1507ca70,12e8a660,07ef6c10
05790653,7d920f2f,f6d7f234,f3aef467,8b45fd1b,78eb097c
30cdeb61,2748230f,dfbcd9d8,ef7132b9,f8f4fad7,1785c86e
360f4882,f20043cd,6b9d1939,5d9251bb,999d5af4,c40f0b4f
d2484862,bdc29736,d703c46d,054b8c0f,6ac1535b,6f8adf54
40d2af8a,e7f9b9a4,0dacbc46,4d7e13cc,ea5505e2,a72b162e
45d9dbf9,bd4bfccc,738c0062,3655db9b,cec7fcae,f8922735
1f4f0545,c66c11ca,679b9583,78d490c6,a1f78449,d923148f
75e0dfb6,99e81be9,589589cf,2d755679,c17d9226,ec08c45f
7ab0436d,ec95eeb3,de41ddba,a4f19ed7,32d43309,9625adde
f76c9d1e,072ecf1a,f2fd4b93,0591d68d,f5d38489,f0425204
a7815f16,69aa9a1a,cbf2672e,6c733838,a258fd34,ce2bc50c
697d6167,f6bb2e17,e91f570c,8062366b,1fa4791b,9fc64f70
a21b4c54,150a3cd6,c4be7e1f,66a5324b,d1b442c9,b7117082
296c485f,d1f5673f,8dee05f6,a4824da9,5c1b62c9,f8992f60
0c6c0883,3ce719d2,ae6fc219,a203ca9a,9288dbcb,308b1151
b7a18213,591dcefd,88b4a1e6,3f1523f5,d1a96f1b,eebc4cee
e6c664a2,e4027a88,9f89fbdc,794f9f7e,7b8b8154,02c41e2a
02cedcab,cc0bcc84,f1fbd90e,f33505a5,3df0158a,cec5102f
2d1c7c35,74ba6fe7,56ba8969,7ba6f55c,2200e68e,59a613d2
ae25faaa,8a4aa18a,7f2b33df,d10ec975,f5619255,246f5b20
f3e5ef7a,70cfdb77,a1e9e110,520c0e6a,d1263a67,832a340d
