a0,a1,b0,b1,r,c0,c1,expected_and
5da1a314,3967c982,5b3f1b2f,03d6ca75,00000055,40060a53,00c64a41,40c04012
02bb9a56,7bcfff94,0172e632,df2c03fb,00000055,01706457,59240197,585465c0
198a9370,436e856b,9cdd99b9,c37a5209,00000055,18c4104c,4260125c,5aa40210
3de7fcc7,3b0fc5ab,2385e535,4c72dd97,00000055,02802171,04601951,06e03820
3fdc08e0,d1641fa8,8de8726d,24c9a4fe,00000055,8ca8121d,2488041d,a8201600
84e019f7,444eaaa5,0f986e8c,69de1ec2,00000055,00882255,408e1217,40063042
e9a5f3b0,d6796a02,d056cf68,e1be9f14,00000055,10548975,219c9945,31c81030
55bba52e,b5395b8c,315fdf26,a6cd9563,00000055,2002de77,a0809477,80824a00
8d293f0a,b24f1686,bb977a90,05cb3392,00000055,3b0628d5,054221d5,3e440900
c5803c9c,7fae2dbc,b5ec9220,dd506e98,00000055,b02c1075,98000055,282c1020
0a87913f,d4cc9416,6577e59a,90a3b029,00000055,4443055d,9003007c,d4400521
b2e28641,a7d4e16f,531e34b9,87199624,00000055,1116247d,05100671,1406220c
90ee09dc,65ec259b,e98284a7,2724cfe8,00000055,e1020452,25000c15,c4020847
4e200e04,8ef7445a,d70fcc91,7fedcdd8,00000055,c0074845,40c5480d,80c20048
3fdf766e,de8ccd7c,54818e2a,f97cd206,00000055,40018a57,e1509257,a1511800
d22b9257,8c24c820,502b0e06,f8465e06,00000055,500b0a53,58065a53,080d5000
801141c5,b20f28f3,72ff4d7e,59bb5bb7,00000055,321e4963,101a4963,22040000
410a74a5,b6694c59,c27820ef,b1e36318,00000055,c26020b9,b163204d,730300f4
c98e85e9,4c348af8,ed2256ef,3673bce2,00000055,85220654,04320c55,81100a01
b982fe1d,bc7215d5,4605edd4,426922f3,00000055,0400e995,00602295,0460cb00
f336a8c7,4a3c0c91,72b27849,4c7f808d,00000055,30022015,080a8051,3808a044
7746b686,7f6ec993,41f53e72,232eea65,00000055,00203e45,00286a50,00085415
980ef823,cd163ae6,5ba18463,6a6d913e,00000055,51008014,40088051,11080045
747863f3,9be46201,0f9e495b,836e5011,00000055,0f9c0107,830c0045,8c900142
36929f8c,22181cf8,52739240,c429b023,00000055,10028215,04088075,140a0260
8ee44186,d258cc3b,93e83fc6,34ebbd58,00000055,10a80dd1,14a88d4d,0400809c
2d80d662,296d3d43,8ae99bc3,b9a18f95,00000055,00e98b54,00a18b54,00480000
cf6e49a7,82282cf1,fb8aacf2,fed69197,00000055,49022407,4c460143,05442544
b640088d,d62bc72e,5e61dc0b,59ab4963,00000055,4061cc56,402b4976,004a8520
1b652af3,e0642cd4,ebf40dea,7ea56d59,00000055,eb000477,7a010454,91010023
1ff52bee,8ee84855,5b08d689,da662587,00000055,110842dc,900421d6,810c630a
6bfa5aa3,5971b110,db13a4bb,e6f883f4,00000055,1203a0e6,228883e5,308b2303
e33cc996,d01e575b,05c1641b,e3608876,00000055,0100045c,23208811,22208c4d
05338a21,55fc86f7,19b37cba,a60231de,00000055,10830cc7,00020083,10810c44
422bdcae,970c7ec6,928d4834,d0088885,00000055,90050075,d0008055,40058020
d7e0e440,e6b52418,f0998848,35f5509a,00000055,3011801d,3155404d,0144c050
85feb76b,6010ffd1,6240d106,2582a289,00000055,60404057,258200dd,45c2408a
405ed79c,f787209d,6e9e8c01,bc495dd4,00000055,26988454,b4495555,92d1d101
8f132b04,86f089fd,c7a01a46,b93b9686,00000055,01a00215,092382d5,088380c0
320fbd44,8c85566d,68cf6605,05803122,00000055,288a6254,04802175,2c0a4321
5ca618a3,b6d8dc3c,252ba5e0,ba4d859e,00000055,202a84d5,aa4c84cb,8a66001e
bf3a7115,07e9c650,35bd0598,07807fc1,00000055,30910555,00803714,30113241
eecb3482,f65b8030,4749ae98,9896a3af,00000055,0000a4c5,1890a0f7,18900432
1aac99b2,488148cd,afc82c28,777f5032,00000055,0208007d,522d5067,5025501a
452febab,c507739b,510ad680,934f911b,00000055,00089055,80089045,80000010
1eef0edf,dbe3d7f0,481ae8a6,428744f7,00000055,4008c873,40044072,000c8801
30ffac79,c94e61bb,26641c52,92b33fcf,00000055,20200c17,90b10d97,b0910180
54d137a3,293f07f9,c632560d,43826964,00000055,4422105d,41822015,05a03048
3e02b83b,b299cf77,5586e63a,a334b576,00000055,0482665d,80103511,8492534c
712132fb,2a1a1368,b102e78a,8fc4a5b8,00000055,110221d7,0b0021c5,1a020012
7d3ac177,0375ea14,fa68415e,8ca6fd3c,00000055,7a480117,0c062975,764e2862
f22d50b0,fd65a0aa,b38baa74,ec1e22b6,00000055,0308a045,0c082047,0f008002
2d9fe0f2,03121b30,81c8e857,3d9e3374,00000055,0088e817,2c8c3315,2c04db02
79b4d604,8c936fb0,bfb488da,22e4a7e9,00000055,b52488c5,2024a1f5,95002930
3116677e,ffa059a6,3995b3b6,3425c380,00000055,089432c5,042402d5,0cb03010
dace7a51,d081768e,40b8a492,f360ddaa,00000055,000804c7,02400cdf,02480818
3620f9c7,b56d3434,e39495da,7ba148f4,00000055,83048587,030148a5,8005cd22
5578532a,d462bcf1,11297953,9e4a7f3b,00000055,01086906,800a6f4e,81020648
6302b614,97513fc6,a322881b,edc310e4,00000055,a0028847,e4430095,444188d2
7c308f83,9b70c795,37d621b0,4358186e,00000055,27400045,43400853,64000816
ae4209f9,e6769bdb,7ee2e4e4,2683d78b,00000055,48208075,00009257,48201222
da2d537a,159aaffa,c0bd82bb,9a7fed17,00000055,c0b580d5,8a37ec55,4a826c80
6b9a9cac,bda2ea6a,bfff1817,03466c5e,00000055,96381053,02006413,94387440
a2925f59,8ed31cbc,9a408d91,5338b4c6,00000055,084001d4,00000091,08400145
03589782,d6269325,eb32fd65,2e9362d8,00000055,c1320470,041200d5,c52004a5
4cc8b31b,bf41a9e4,c3121686,e514ff88,00000055,c30012d3,e1001add,2200080e
cbc176c0,096e3e9a,561bed73,b8a7b502,00000055,420b4807,80a70057,c2ac4850
84cd2967,738e60da,fbdc1ab0,1cde7392,00000055,f34008e5,144241c5,e7024920
29755279,f8be5864,e3c24f4f,fe8d2248,00000055,c1c20a58,d089025d,114b0805
7d3bee7f,a9e980e2,ee09d055,ec8af8fd,00000055,c4004040,c48268c8,00822888
65f401e7,c213a97b,1e9c3267,236fd1f9,00000055,06842051,236780cd,25e3a09c
08da700b,8af56b1c,ca53c9bc,c3148c65,00000055,82030941,82040850,00070111
ab89c820,b07cdafc,79f36d94,02889c33,00000055,19f100c1,02801045,1b711084
7dce0dcd,ecd5ddcc,cd7cede7,2b4ce1e2,00000055,8118c054,0108c055,80100001
263ee2cd,fbba9452,7c834f05,425f9e5f,00000055,5c804650,4004164a,1c84501a
5bec971c,a6169e69,e20eb0fa,c7e71f68,00000055,e00a0025,c5e20935,25e80910
1585aa3e,caba0154,8679a39c,26326aa1,00000055,8639a35d,06322a75,800b8928
cb645b7c,5a2ae899,8e930c2d,c9f8cb34,00000055,80020070,81488371,014a8301
01caf309,38718a1b,f7bf6d7c,3480e45c,00000055,31bb6945,30806045,013b0900
3ddc81f6,5242bbae,fb756cf8,9bb1031a,00000055,6b14280d,0b90024d,60842a40
d2ea8521,b5ec3a02,a0c1ca3e,d839029c,00000055,20008a77,40000255,60008822
a4c0eb94,bdc983da,7639600b,015edfe9,00000055,1009605f,0108481d,11012842
80f86212,69d0f036,0935fde4,2f020773,00000055,09209071,29000275,20209204
85740ce4,fc40470c,e98d222f,30f105f7,00000055,6904027d,303001b5,593403c8
375903da,8034d627,1b011215,c3bd95b6,00000055,13011040,832d95e1,902c85a1
dfc81b13,96b6f1bf,3cbe0baf,22c95bd8,00000055,083e0af9,00484add,08764024
ee893ba0,ce1dcfc6,8475796d,34ec945c,00000055,00147031,20849411,2090e420
eb693df2,d0ee7597,7b9edf41,06a1d999,00000055,3b864814,02814854,39070040
e59c0694,0e2192d5,27e44a92,a717f6ab,00000055,23a40055,a3159454,80b19401
d74c92fd,27903715,41895a14,8d1b5c55,00000055,40880055,80180415,c0900440
273f3725,46e2d046,9d786cfc,4f653ea8,00000055,01586435,41452675,401d4240
ed09b52e,c12c67f9,efe3823d,7527bba0,00000055,2c218240,242592d5,08041095
5716a224,4c5847a8,5e3fab50,c2a75304,00000055,1a0ea155,02064151,1808e004
7cc6ebe8,799f1892,eb0e7fe5,b9e424c5,00000055,01087335,01402015,00485320
5141f339,831be5ee,3f808dc7,b50a9b0f,00000055,12000492,900a1252,820a16c0
569894be,6ef0977c,fa5c818b,dcb906d9,00000055,384801d7,18280295,20600342
bdc89551,76a15d85,daa7abae,a01d7aa1,00000055,ca2188d1,800948d5,4a28c004
135bc924,96bd4038,1a2d846f,ab6e8003,00000055,00248059,81668055,8142000c
11957cd9,722bf694,7b676875,a78d2c99,00000055,63260810,238c085c,40aa004c
5afa7bb5,76ded8ff,08b78561,0d924714,00000055,08248115,0c000355,04248240
16992a33,e8b6cd40,485a8348,9436b517,00000055,480a8315,9426a546,dc2c2653
c67ed81d,2616e3d5,abb8eac0,b9b5609a,00000055,a0282a95,a02020dd,00080a48
4afa9a36,b69f5a83,68972734,d2962322,00000055,68050061,d0040075,b8010014
fb2786fc,1d5ba6e3,93e15823,2c3bad9b,00000055,82600056,2438204e,a6582018
f02a2d87,5177847d,213f4a89,1bc8f968,00000055,211d08dd,0148a93d,2055a1e0
6d4a8d19,6a8fedfe,d907a23b,ad08fe92,00000055,01052076,050060d7,040540a1
dcbe7e6d,2f7c1237,239a9cda,b90a2a14,00000055,23820c0f,b1022845,9280244a
608d9144,7cd6daea,9ac96751,49259c76,00000055,18494355,08010873,10484b26
17b2e2ea,a5a3ce87,24e6f2ef,02b96f13,00000055,20002038,02112c54,22110c6c
b2a227a3,3019aad2,803f4b69,3a5a9d3b,00000055,803b0934,021a8d64,82218450
e9e06c14,15b2491f,b2bcee7c,f13287a7,00000055,b010245d,f0120556,4002210b
1bdb8f61,3af9cafc,b958d969,893f0f18,00000055,2100415c,0122054d,20224411
6dcf0f0b,66456fbe,93c1d0fa,e903e421,00000055,038040e5,09026074,0a822091
fa384067,501296a9,bffe819d,3de746e3,00000055,aa2a80d9,28224697,8208c64e
bfb45357,16f768b0,3b08d97d,a6a25c32,00000055,29001930,a0021877,89020147
3dfa0f94,6aaf64a0,43a0949c,c73418c1,00000055,43000041,47140855,04140814
e36461eb,35cfb469,625ad968,f9029b9d,00000055,420ad155,d00291d5,92084080
9efd72b9,869fa53c,fa6b5c14,34d9b4bd,00000055,18625451,104094d0,0822c081
e13d49d4,8a58af02,ca5c4b5f,728d4e3e,00000055,4a444203,62054643,28410440
0a5cc3bb,7e03b938,f03a50be,eb3772a0,00000055,701a50d7,601772d5,100d2202
ea81f119,011b88e6,9a8516aa,cd79dbde,00000055,8a8010ff,c918598b,43984974
28bc76b3,3ad80913,399ea05e,469ac929,00000055,10042055,02004975,12046920
baa1c4ca,4f45ca53,00f36d08,0ca22c56,00000055,00e00c5d,04a00c45,04400018
0159e6eb,63e2314d,4ce0e780,4b7716fd,00000055,40a0c7d5,423316f1,0293d124
4d57e2d2,cdc78eac,48fc32ad,9bf0dd99,00000055,00902079,80904c4d,80006c34
282fa49e,f9f9f2cc,5fb2f246,fc358117,00000055,51925217,d0140047,81865250
1e0e50fa,38f20fff,38546b1a,d333df31,00000055,20544b55,02305f54,22641401
82e6dc94,8a9e94c4,6b3eab17,6edfee38,00000055,08380845,08584845,00604000
755a20d3,01aa500c,5b9736bf,d78f3355,00000055,509030ca,54803000,041000ca
1d817690,ac57d737,5376cc9d,fc8b6e16,00000055,115680d0,b0822053,a1d4a083
64aa81b2,7ede9890,503d9378,2ba2580b,00000055,10341175,0a201857,1a140922
e97ff332,e35f01ec,191119bc,9e7a7e79,00000055,080010c9,0a20720d,022062c4
1bff120d,296e4ee6,ed546865,44487312,00000055,20104834,00005057,20101863
4ec7d3a7,9cd2079c,4a70dd5a,62f9b302,00000055,4210d44f,42119057,00014418
d1619cea,a28846c6,aa1fd916,51024134,00000055,2209d851,51004071,73099820
286149c7,666cd8ad,60672320,72890ffa,00000055,40050175,4209013f,020c004a
12099d15,0e9cb0df,7d4dc002,70b06449,00000055,1c050057,1090241d,0c95244a
305ecdf2,aa187905,5df7d49c,3ac16b76,00000055,184694c1,1a402023,0206b4e2
bcd94db3,711d5402,a7b73bb9,152ceb8b,00000055,858419e4,050409d4,80801030
e98a57f2,d0db3979,554c0165,d428d276,00000055,11400054,10004257,01404203
f9e47c93,1762a9a2,c01415cf,66952f5f,00000055,c0041554,66840544,a6801010
d380e979,188910bb,9a1f3add,e00cb5f3,00000055,8a093895,c008b197,4a018902
1582144d,54ee6940,e263b76b,81a6f18f,00000055,4060355c,01247158,41444404
fc142b76,8a84f45f,2e09888b,5d8a1bed,00000055,2600885c,54801b7c,72809320
25c75d10,d96bc3ac,63b2475e,fab1f172,00000055,60a00649,f8a09065,9800962c
bfed209f,1f653be1,f49f97b8,dcc86520,00000055,a088136d,80880175,20001218
ad62b54f,20e681e0,396f6dc3,a6da2765,00000055,090424d6,84802470,8d8400a6
b5cf5c35,6459b43f,fea4adb7,0fa3bb0d,00000055,d084a857,0182a85d,d106000a
d5bf0093,67c5c4a3,8dc14b9b,660a9c7d,00000055,80404045,220a8465,a24ac420
95f0e4a1,1a8a0c30,bc894c62,e3ff64f7,00000055,8c084855,837a60c4,0f722891
ce2021db,539ea68d,fad092bf,1fb71234,00000055,98908243,1db60241,85268002
ec981dea,326bda07,32f45377,0bca206e,00000055,12f04330,0ac20039,18324309
a3f347a6,5adf36cd,36f9a20b,bd02c51a,00000055,3028205e,b900415f,89286101
62f8d0d8,c96ffe6c,b07be403,824f06ec,00000055,a0132455,820706f1,221422a4
63e6f4d7,9a34cb7b,1ece0926,662c8f8d,00000055,18c20971,60000fd9,78c206a8
ffb62a4b,45b14fed,0ff86aba,7307b6f4,00000055,0a0060f7,320724f1,38074406
aa268da5,dd924ed8,a26cfce2,0b52dc3d,00000055,2224c035,0310c068,2134005d
74b06332,318d22c3,b6acaba9,e85fdd9c,00000055,042c01f4,401d41c5,44314031
a235e405,121aef26,f26a838f,6ac40666,00000055,b02a0356,20040277,902e0121
6c3504d4,9f52992f,a075581f,5194ca1b,00000055,a065184e,5104884e,f1619000
51c7fc7c,77502c44,e6dbed8c,70310026,00000055,2693c05d,20110075,0682c028
a5105c76,ac3ed2b5,1615204c,8c19d0a8,00000055,00040015,080880d5,080c80c0
090bea98,28144bc8,45bc3e8b,32c38dd2,00000055,011c2055,20038105,211fa150
4f175485,d6913460,16e53ece,5584d76f,00000055,10842091,11844030,010060a1
01f9a8a2,66101a54,c9701d13,0d4d9fab,00000055,41601047,054992f7,442982b0
a3363680,77f1180e,28a5ed3b,fdab4d67,00000055,00852c5f,d4830c53,d406200c
a746b6d7,605f9cd2,8a248e2d,b41f3257,00000055,82000a50,84192250,06192800
2f81d217,19f6c911,3e79c24d,b34fea77,00000055,36710251,32470a53,04360802
30a23b53,a0c544e4,3712be8a,fce44487,00000055,10023ed7,906444d2,80667a05
a8506341,70279563,159d1ad7,de69b1ff,00000055,10151257,d861b077,c874a220
c29c0fec,4d43e57e,7ee0c107,c3248a5d,00000055,0ec0c057,83048a45,8dc44a12
6bc76a28,ad09a5b2,95444500,19c2e63a,00000055,84444555,00c2c64f,8486831a
b824ce3a,b9f087e1,79c01099,07187347,00000055,01c000cc,01104116,00d041da
661c95f5,db7ac358,ce6169f5,387db515,00000055,8c6040f0,38641450,b40454a0
e41d796f,d99efeb3,2292e159,58c6e79d,00000055,2082810d,188287c9,380006c4
12c38400,7d79adfc,84a1d2c1,b52fa6e2,00000055,04a00095,252a20b5,218a2020
62c561cf,cfda7474,2ad4ef91,d94208cb,00000055,281405c4,890200de,a116051a
4c8335ed,59bb45eb,aeb04eb2,c896fce0,00000055,04304057,00107055,04203002
14269bf4,870e467f,57af41f6,d2aef8ff,00000055,132841d7,9228d8de,81009909
5e93d05a,809b454c,19f521e6,5bb8b147,00000055,18000153,5a089153,42089000
fba300e2,6a441847,f2c4450c,4260fdc0,00000055,90c40051,006018d5,90a41884
bef8e775,750f7d4f,a9fac4e3,7702481d,00000055,89f28077,4302084d,caf0883a
a9d4ec02,14679506,15e836de,b82e594c,00000055,15a03051,b8225951,ad826900
77b026d2,433d38c8,76baa9c2,66d39257,00000055,34880857,24811247,10091a10
959d961f,f3502c05,328836e9,27a2aaf8,00000055,2288325d,2680aa4d,04089810
c52eaf42,d7306bdd,d16662de,b6b23bdc,00000055,100640cb,121200c9,02144002
9b50b6c1,5b054b2d,dbe2fe8a,dcdabac0,00000055,c040fcdd,c050b895,00104448
99d0f6bc,4cd6b5f4,88b43d6b,945a35de,00000055,8004011d,9402011d,14060000
fbcd6366,fcb9eaa3,a69b0196,37d5a5f1,00000055,061001d1,07548194,01448045
6788749b,a46af2c1,6119b6a0,84f6db70,00000055,41008655,80e28205,c1e20450
e35f54bd,71d6b571,e9291b3c,4d95bf0b,00000055,80090159,0081a15d,8088a004
9d6a5fed,953a1568,778bbfa5,07acd977,00000055,00000ad0,00004850,00004280
3071eb80,989fc91c,6855d1b0,ba694141,00000055,284400c5,a8680055,802c0090
a0479d9e,c344189a,faf5ce3b,6e656e1c,00000055,62018455,62010451,00008004
c2c5d21b,0454bea3,f6c6b413,501fffa1,00000055,c6802445,40116cf5,869148b0
4546b2b2,1f0fa60c,55a4f308,b223265d,00000055,5000105d,12010449,42011414
76f708b7,5b03fc23,08aa84d9,92188888,00000055,08a084c5,001080d5,08b00410
65de3e58,ba3a47b6,3c572ebf,136312d9,00000055,1c4428fb,1360109d,0f243866
b2e85839,cdd9a009,6608637e,3fea351b,00000055,66006065,3f203045,59205020
020a1d86,9cf3dfa2,83a20eb8,1809d701,00000055,82a00275,1809c255,9aa9c020
987cb045,32db0b17,f0bd9a44,d23bbd5d,00000055,a0a59a15,8223b905,22862310
27bd99d4,c83538ef,862f51fe,4aec0935,00000055,8608016f,4a880164,cc80000b
c16a5d96,335a2925,b8438973,b7f8f22b,00000055,b0000066,b2307076,02307010
86864323,b6c63da9,6cb0483d,510a7219,00000055,2000485d,1000725d,30003a00
99012ec1,da1c7cbd,93e04b49,cade499b,00000055,0300421d,421c404d,411c0250
88338a29,3d8272ee,7dd0e9ef,ffcbbd73,00000055,3590e892,b581b816,80115084
8a2acd3c,8e01db6b,31031a02,a878a290,00000055,00031257,00280245,002b1012
836a0189,4d578cdc,638998ea,6857591a,00000055,42098815,48150945,0a1c8150
c85d9470,4dacd4ba,5bd30ea1,8403122e,00000055,01d100d5,8401005f,85d0008a
db3995fe,7ac95a15,9a56cf67,87bdb0d4,00000055,8050cf36,81b08095,01e04fa3
23eee66b,a268bfe7,a7d83dc4,2cf42cab,00000055,818019d1,008408dd,8104110c
8b829288,d9109ac6,417f7f29,8d50a85c,00000055,4012085d,00100819,40020044
1acb780d,974577ca,dbca32c9,7410515b,00000055,898a0294,04000116,8d8a0382
1d296242,50f61a88,12c5fe4c,56ae09df,00000055,00c5781d,448e089f,444b7082
eb639df1,b1f9eed5,0f9ec1ef,0b6487d6,00000055,0a9a4171,0a000351,009a4220
fa82d5e4,03854ddf,73c9fd30,2c8c3d8e,00000055,71019865,2804185f,5905803a
871f0ad6,3bb35640,d6372c26,5fe5114c,00000055,94240c53,1ca41051,88801c02
6502589e,e30fc5fa,f01b70a1,1f35215a,00000055,80091075,06050115,860c1160
c21feb3c,af52ede9,d441f139,7bf79099,00000055,44410044,694500c4,2d040080
d5f7ab34,0f31cca1,947ff479,4a099e21,00000055,90466444,4a000654,da466210
5984b8ba,84ec31d8,4ccdedca,7eadcf23,00000055,4c488917,5c288977,10600060
570a0d41,2c3927e0,37d6e32b,385d6b0b,00000055,33122274,38112a54,0b030820
37e4062b,3ca8dc4b,4002c758,792f1067,00000055,0000c215,090c1035,090cd220
801eb69e,209b8761,9f56dede,fb20422d,00000055,8004108b,a0000078,200410f3
89f63bbd,8ef24d39,49f4d7a5,080c74e9,00000055,010456d1,000474d5,01002204
46b0597c,9fdee1db,e374774c,6143ac81,00000055,c1643051,4142a8d4,80269885
1576c841,d57c9546,ad24093d,8b7c09ca,00000055,80000950,80080957,00080007
fa03243e,377366f7,feb4f369,42dc74c6,00000055,cc30421c,40504095,8c600289
dcf80f36,5c15b6a0,f517424e,8236e461,00000055,80050053,8024a055,0021a006
a119bbae,74ef85c7,060fbf93,b96e5241,00000055,04063e54,91661214,95602c40
7c3092d4,1a3608fb,6c578232,5e359b9f,00000055,64068277,46049a5a,2202182d
009b3f4d,1c239689,b5934fc0,3f762d02,00000055,14900995,1c302955,08a020c0
97472747,eb6addfb,a7282ffc,394c0abf,00000055,24282ae9,380c0ae9,1c242000
3d291301,2ba0ed01,ddc425cf,ed8218d0,00000055,14802455,04801855,10003c00
51faa438,d69bfc31,9c76152f,ccc2eacd,00000055,8460105c,8440485c,00205800
96c85811,6f14cf8a,9194d203,a2bd2615,00000055,91949256,a09c0644,31089412
22711a0a,7a731cc9,534fd8fa,7bca68aa,00000055,50020097,580200d7,08000040
062d2840,9a7c75e9,099f3829,c10a05d6,00000055,0811187c,800005d5,88111da9
04950488,bae5a2f9,4ffa99f3,06409d7b,00000055,0e708024,06408424,08300400
a2588187,16ba7e65,cc3c906d,fa1783bd,00000055,84209035,b00283f5,342213c0
df5f6c45,a7170283,99a6de2f,fb5b839e,00000055,18004e53,784802d3,60484c80
69ff6427,c5f8fc3c,63099fae,302a1282,00000055,2001985f,20021057,00038808
a014b874,9d4ac1ed,e828cc40,617b9696,00000055,28084855,215a10c5,09525890
43db04cc,fd7b2b36,48ac5f85,a1e76ec1,00000055,08a00fd5,a0a02e95,a8002140
986ce87d,35064b72,04b5729b,9295b66e,00000055,0420225e,8000a25b,84208005
06c8024e,a79f6c25,4e9e60ea,e7e5f375,00000055,0016603f,a1456234,a153020b
3adec813,a0581ee8,6dc5de8d,63677fcc,00000055,0884d6dc,0206569d,0a828041
4ab329b8,7d53b380,65867e3b,07617adf,00000055,25801a6d,07601a4d,22e00020
e6730e65,b5cc91d2,8846021b,a01974ff,00000055,00060246,001914e2,001f16a4
3bf57ffc,2c0babb4,dd3ba582,6bc7248a,00000055,153a8455,03c6045d,16fc8008
73719e03,19db4b6a,4bced859,0ca5e50f,00000055,4a8ad01c,08a0c55c,422a1540
c4a92db5,74cf8e1f,ca2e1c16,fa4f3de8,00000055,80260057,b04621fd,306021aa
c9c1cfa0,1a044fa3,9bdb79b9,7a0344ba,00000055,93c10054,52010057,c1c00003
f92023a0,e63a9246,3cae1700,a6339ffd,00000055,1c0a1155,061291b1,1a1880e4
e14f74ad,5945a5ad,2ee1c384,8bc8d57d,00000055,2800c155,8808d155,a0081000
e2914c36,cefadbe4,25b70db4,0af6187a,00000055,242305c5,08621007,2c4115c2
a69e0686,62fdfe89,92f6b933,7f1e4895,00000055,8062b856,44024850,c460f006
cdf980be,f418f2fa,3c01e921,bec50e87,00000055,38016055,38c10251,00c06204
ece3c348,9ef2ad01,5046459c,364e9105,00000055,5000445d,32000054,62004409
e9e55759,e5c534bf,3d600687,8b3a09ca,00000055,0c2002d3,08200197,04000344
f54a3813,895934ed,dc3f9f50,b25c5ff3,00000055,5c130c05,30100ca7,6c0300a2
27691847,f187856d,88c992bf,e22931c7,00000055,80c8907f,c2281157,42e08128
7f91c3d7,29b8bbeb,2f839eca,561f4742,00000055,0601185d,56094055,50085808
f4282787,3e80349a,c99d5036,b04a3f42,00000055,c8881041,80081355,48800314
b85f1ba9,bbaa73c0,39a362b0,b1deef55,00000055,01a16075,01d46814,00750861
bb2ada38,9180054f,8038c6ff,5847525e,00000055,0028c622,08025203,082a9421
6dd6452b,0a5c9ecc,f5797c19,cfc45c6a,00000055,65085854,47805837,22880063
0ffbb36b,d21136e9,ccbcf7d2,5f76e4c0,00000055,cca885d7,5d6284d5,91ca0102
667b27cb,bd706fe6,a4737564,9b72aa1e,00000055,80034071,9b020859,1b014828
acc5313c,14d74ebf,639a41bd,499565b0,00000055,201241d4,081065d5,28022401
c8993e1c,ea14e667,568c82d3,786e81c7,00000055,028c8006,200c8016,22800010
596c4b35,e663a4aa,fb6a3b1a,296e8106,00000055,bb0a2b4f,290e8153,9204aa1c
e684ec92,b929d2f7,a38019e3,93af31b0,00000055,03801834,13ad3075,102d2841
a838b42f,70eb9556,6dc381c0,7fe0a22b,00000055,48c30115,58c0207c,10032169
fdab34d0,9e80f2aa,24468388,5d973001,00000055,2002825d,41030055,61018208
f358d0fe,a7faf78f,95e7366b,ba36cc11,00000055,14a22634,10220444,04802270
9a2e05b6,e9fa8694,cd20bee2,06f5b428,00000055,41008277,02d48075,43d40202
873eaef7,5bb49348,67ac71ad,67bf3994,00000055,448831f8,448a39c1,00020839
43466537,de3822ca,2454f37f,d2ca1437,00000055,04544328,904a0460,941e4748
a4fea3c4,bd76ae59,718b4d17,67f3e32f,00000055,11880d40,01800158,10080c18
e3ff3c16,f65cf055,2d64a607,bbf9307d,00000055,05208456,11a10014,14818442
9fd756e0,737a161a,05e77957,4facd98e,00000055,04a54007,4cac40df,480900d8
d1d87732,97173913,16dacc90,e33177cf,00000055,06ca4c55,42014654,44cb0a01
e95c2cf6,10b8dfff,3e554ace,29054f7d,00000055,3844425d,2904435c,11400101
697740c5,d1b37c05,84713eff,4a833b19,00000055,80403c95,08803855,88c004c0
02cc5787,921627ae,c8e6134f,05d2fad0,00000055,80c2105c,00d27055,80106009
3e71bd33,fff3eade,e04f75b8,9bbbe389,00000055,c00255fd,818243dc,41801621
ecd81054,9ae14c63,aefbd29f,8090a9b6,00000055,26395042,00100863,26295821
20b663fb,1abad4db,a9ddece1,cd460105,00000055,280ca475,08040155,2008a520
2eb3d4d9,c5c4f46d,9cb04e57,e650084f,00000055,88300041,e2500051,6a600010
116818c8,e75f96e1,7f9e4bed,0028912a,00000055,76160a7c,0020807d,76368a01
7c4f2ed6,ed4c2df4,5a8a12f3,121c2566,00000055,10020277,10000177,00020300
c87ee3ec,fb838627,4fee1833,bd50d139,00000055,03ec0056,3150415c,32bc410a
cf0f5897,7cb3bffc,96c3908b,3cef43bb,00000055,9280805e,30ac437e,a22cc320
7cf9d92a,97c98396,49966091,1df65018,00000055,491040c5,0930504d,40201088
d2c49adf,8e8e7b7c,1f61b58d,c0ca80d6,00000055,1c40a1d4,404a80d7,5c0a2103
cded020d,a6d13dfa,25bec6e3,281eae50,00000055,213c06b6,281c2e05,092028b3
7877ba57,a5f09ede,354b8ae2,f838f4c9,00000055,150300d5,d80024dc,cd032409
54d60fc3,fbf622a8,e3afe259,ebd54934,00000055,a320201c,ab000975,08202969
a8da4f3f,a683ab67,27c255f6,5cb89164,00000055,06404405,0c188015,0a58c410
65038a53,9e932953,32f0d86b,7f910f30,00000055,32908055,7b900355,49008300
21b2dc43,9daa511a,043a6b05,7b11a2ba,00000055,04180954,3810804d,3c088919
5c6a4274,ee8d9d22,7966c77c,ff77c513,00000055,3066c701,b267c547,82010246
d0d96955,12f28dcf,0ba27586,6e4e1230,00000055,022264d7,420a0045,40286492
62cf0e4e,3114c7aa,4fa977d2,ad01fc5e,00000055,43894195,0101c811,42888984
ed77a635,e012f9ae,147cf7e2,6a268328,00000055,046457d7,0824035d,0c40548a
0724e0ca,46be20ef,dcb8d7f9,e8934fd4,00000055,4098c074,40924051,000a8025
e9e44c22,93496454,c4f5e355,3386f353,00000055,40a52001,32842007,72210006
b5f3e7a4,3a55ba92,ccaf84b4,f1c6bc12,00000055,8ca60461,81861c47,0d201826
46c34600,79de553f,29f1feb9,872843b5,00000055,2911126c,07080360,2e19110c
0b67a26a,376617f8,504ce8e1,15f2ff98,00000055,1000a0d5,1400b5c5,04001510
